security_id,ticker,news_sentiment_7d,news_sentiment_30d,news_sentiment_90d,sentiment_momentum_30d,sentiment_momentum_90d,negative_news_intensity_30d,positive_news_intensity_30d,management_confidence_score,regulatory_risk_score,litigation_risk_score,governance_risk_score,credit_stress_score,dividend_language_score,cashflow_language_score,event_severity_score,governance_red_flag_count,controversy_score_90d,dividend_risk_score,cashflow_deterioration_score,abnormal_attention_score,alt_data_quality_score,sentiment_alt_data_score,news_sentiment_30d_raw,news_sentiment_90d_raw,dividend_risk_flag,regulatory_risk_flag,governance_risk_flag,credit_stress_flag,litigation_risk_flag,negative_sentiment_spike_flag,management_confidence_deterioration_flag,alt_data_exclusion_flag,alt_data_review_required_flag,negative_news_intensity,controversy_score,sentiment_momentum
GSK.US,GSK.US,50.0,0.0,0.46666666666666656,-23.33333333333333,23.33333333333333,0.0,0.0,63.333333333333336,0.0,0.0,0.0,0.0,63.333333333333336,63.333333333333336,55,0,24.75,50.416666666666664,36.666666666666664,36,80,66.45416666666668,0.0,0.46666666666666656,False,False,False,False,False,False,False,False,False,0.0,24.75,-23.33333333333333
HBAN.US,HBAN.US,50.0,0.0,-0.1,5.0,-5.0,0.0,0.0,43.333333333333336,0.0,0.0,0.0,0.0,63.333333333333336,53.888888888888886,75,0,33.75,55.416666666666664,46.111111111111114,36,80,61.10416666666667,0.0,-0.1,False,False,False,False,False,False,False,False,False,0.0,33.75,5.0
HD.US,HD.US,50.0,0.0,-0.15,7.5,-7.5,0.0,0.0,40.0,0.0,0.0,0.0,0.0,63.33333333333333,55.83333333333333,75,1,53.75,55.41666666666667,44.16666666666667,36,80,57.4375,0.0,-0.15,False,False,False,False,False,False,False,False,False,0.0,53.75,7.5
HDB.US,HDB.US,5.0,-0.9,-0.9555555555555556,2.7777777777777777,-47.77777777777778,1.0,0.0,30.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,50.0,35.0,75,1,68.75,68.75,75.0,36,80,26.270833333333332,-0.9,-0.9555555555555556,False,False,False,False,False,False,True,False,True,1.0,68.75,2.7777777777777777
HESAY.US,HESAY.US,85.0,0.7,-0.38888888888888884,54.44444444444444,-19.444444444444443,0.0,1.0,50.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,50.0,44.444444444444436,75,1,53.75,68.75,55.555555555555564,36,80,68.52083333333333,0.7,-0.38888888888888884,False,False,False,False,False,False,False,False,False,0.0,53.75,54.44444444444444
HIG.US,HIG.US,50.0,0.0,-0.45,22.5,-22.5,0.0,0.0,40.0,0.0,50.0,0.0,50.0,56.666666666666664,42.5,75,0,33.75,62.083333333333336,57.5,36,80,50.4375,0.0,-0.45,False,False,False,False,False,False,False,False,False,0.0,33.75,22.5
HON.US,HON.US,50.0,0.7,0.7,0.0,35.0,0.0,1.0,70.0,0.0,0.0,0.0,0.0,63.33333333333333,70.0,55,0,24.75,50.41666666666667,30.0,36,80,83.5375,0.7,0.7,False,False,False,False,False,False,False,False,False,0.0,24.75,0.0
HPE.US,HPE.US,85.0,-0.15,-0.1,-2.5,-5.0,1.0,1.0,43.333333333333336,0.0,0.0,0.0,0.0,63.333333333333336,53.888888888888886,75,0,48.75,55.416666666666664,56.111111111111114,36,80,55.47916666666667,-0.15,-0.1,False,False,False,False,False,False,False,False,False,1.0,48.75,-2.5
HPQ.US,HPQ.US,0.0,-0.9833333333333333,-0.4222222222222222,-28.055555555555557,-21.11111111111111,2.0,0.0,36.666666666666664,33.333333333333336,0.0,33.333333333333336,0.0,58.888888888888886,48.888888888888886,75,1,83.75,59.861111111111114,71.11111111111111,36,80,30.145833333333332,-0.9833333333333333,-0.4222222222222222,False,False,False,False,False,False,False,False,False,2.0,83.75,-28.055555555555557
HSBC.US,HSBC.US,50.0,-0.9333333333333332,-0.9333333333333332,0.0,-46.666666666666664,2.0,0.0,30.0,50.0,50.0,50.0,50.0,50.0,35.0,75,1,83.75,68.75,85.0,36,80,19.9375,-0.9333333333333332,-0.9333333333333332,False,False,False,False,False,False,True,False,True,2.0,83.75,0.0
HSY.US,HSY.US,1.666666666666667,-0.38888888888888884,-0.38888888888888884,0.0,-19.444444444444443,2.0,1.0,50.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,50.0,44.444444444444436,75,1,83.75,68.75,75.55555555555557,36,80,39.52083333333333,-0.38888888888888884,-0.38888888888888884,False,False,False,False,False,False,False,False,False,2.0,83.75,0.0
IBM.US,IBM.US,5.0,-0.06666666666666671,-0.06666666666666671,0.0,-3.3333333333333357,1.0,1.0,56.666666666666664,0.0,33.333333333333336,0.0,33.333333333333336,54.444444444444436,49.444444444444436,75,0,48.75,64.30555555555557,60.555555555555564,36,80,53.35416666666667,-0.06666666666666671,-0.06666666666666671,False,False,False,False,False,False,False,False,False,1.0,48.75,0.0
ICE.US,ICE.US,85.0,0.46666666666666656,0.46666666666666656,0.0,23.33333333333333,0.0,2.0,63.333333333333336,0.0,0.0,0.0,0.0,63.333333333333336,63.333333333333336,55,0,24.75,50.416666666666664,36.666666666666664,36,80,76.95416666666668,0.46666666666666656,0.46666666666666656,False,False,False,False,False,False,False,False,False,0.0,24.75,0.0
INFY.US,INFY.US,50.0,0.35,-0.1,22.5,-5.0,0.0,1.0,43.333333333333336,0.0,0.0,0.0,0.0,63.333333333333336,53.888888888888886,75,0,33.75,55.416666666666664,46.111111111111114,36,80,68.97916666666667,0.35,-0.1,False,False,False,False,False,False,False,False,False,0.0,33.75,22.5
ING.US,ING.US,50.0,-0.15,-0.4222222222222222,13.61111111111111,-21.11111111111111,1.0,1.0,36.666666666666664,33.333333333333336,0.0,33.333333333333336,0.0,58.888888888888886,48.888888888888886,75,1,68.75,59.861111111111114,61.111111111111114,36,80,51.14583333333333,-0.15,-0.4222222222222222,False,False,False,False,False,False,False,False,False,1.0,68.75,13.61111111111111
INTU.US,INTU.US,50.0,-0.9833333333333333,-0.9555555555555556,-1.3888888888888888,-47.77777777777778,2.0,0.0,30.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,50.0,35.0,75,1,83.75,68.75,85.0,36,80,22.145833333333332,-0.9833333333333333,-0.9555555555555556,False,False,False,False,False,False,True,False,True,2.0,83.75,-1.3888888888888888
ITUB.US,ITUB.US,50.0,-0.9333333333333332,-0.38888888888888884,-27.222222222222225,-19.444444444444443,2.0,0.0,50.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,50.0,44.444444444444436,75,1,83.75,68.75,75.55555555555557,36,80,27.270833333333332,-0.9333333333333332,-0.38888888888888884,False,False,False,False,False,False,False,False,False,2.0,83.75,-27.222222222222225
ITW.US,ITW.US,50.0,-0.9,-0.06666666666666671,-41.666666666666664,-3.3333333333333357,1.0,0.0,56.666666666666664,0.0,33.333333333333336,0.0,33.333333333333336,54.444444444444436,49.444444444444436,75,0,48.75,64.30555555555557,60.555555555555564,36,80,34.60416666666667,-0.9,-0.06666666666666671,False,False,False,False,False,False,False,False,False,1.0,48.75,-41.666666666666664
JCI.US,JCI.US,50.0,0.7,0.46666666666666656,11.666666666666671,23.33333333333333,0.0,1.0,63.333333333333336,0.0,0.0,0.0,0.0,63.333333333333336,63.333333333333336,55,0,24.75,50.416666666666664,36.666666666666664,36,80,82.20416666666668,0.7,0.46666666666666656,False,False,False,False,False,False,False,False,False,0.0,24.75,11.666666666666671
JD.US,JD.US,50.0,0.0,-0.1,5.0,-5.0,0.0,0.0,43.333333333333336,0.0,0.0,0.0,0.0,63.333333333333336,53.888888888888886,75,0,33.75,55.416666666666664,46.111111111111114,36,80,61.10416666666667,0.0,-0.1,False,False,False,False,False,False,False,False,False,0.0,33.75,5.0
JNJ.US,JNJ.US,50.0,0.7,-0.4222222222222222,56.111111111111114,-21.11111111111111,0.0,1.0,36.666666666666664,33.333333333333336,0.0,33.333333333333336,0.0,58.888888888888886,48.888888888888886,75,1,53.75,59.861111111111114,51.111111111111114,36,80,72.52083333333334,0.7,-0.4222222222222222,False,False,False,False,False,False,False,False,False,0.0,53.75,56.111111111111114
JPM.US,JPM.US,50.0,0.0,-0.9555555555555556,47.77777777777778,-47.77777777777778,0.0,0.0,30.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,50.0,35.0,75,1,53.75,68.75,65.0,36,80,48.77083333333333,0.0,-0.9555555555555556,False,False,False,False,False,False,True,False,True,0.0,53.75,47.77777777777778
KDP.US,KDP.US,50.0,0.0,-0.38888888888888884,19.444444444444443,-19.444444444444443,0.0,0.0,50.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,50.0,44.444444444444436,75,1,53.75,68.75,55.555555555555564,36,80,52.77083333333333,0.0,-0.38888888888888884,False,False,False,False,False,False,False,False,False,0.0,53.75,19.444444444444443
KMB.US,KMB.US,50.0,0.0,-0.06666666666666671,3.3333333333333357,-3.3333333333333357,0.0,0.0,56.666666666666664,0.0,33.333333333333336,0.0,33.333333333333336,54.444444444444436,49.444444444444436,75,0,33.75,64.30555555555557,50.555555555555564,36,80,57.10416666666667,0.0,-0.06666666666666671,False,False,False,False,False,False,False,False,False,0.0,33.75,3.3333333333333357
KMI.US,KMI.US,50.0,0.0,0.46666666666666656,-23.33333333333333,23.33333333333333,0.0,0.0,63.333333333333336,0.0,0.0,0.0,0.0,63.333333333333336,63.333333333333336,55,0,24.75,50.416666666666664,36.666666666666664,36,80,66.45416666666668,0.0,0.46666666666666656,False,False,False,False,False,False,False,False,False,0.0,24.75,-23.33333333333333
KO.US,KO.US,50.0,0.0,-0.1,5.0,-5.0,0.0,0.0,43.333333333333336,0.0,0.0,0.0,0.0,63.333333333333336,53.888888888888886,75,0,33.75,55.416666666666664,46.111111111111114,36,80,61.10416666666667,0.0,-0.1,False,False,False,False,False,False,False,False,False,0.0,33.75,5.0
KR.US,KR.US,50.0,0.0,-0.4222222222222222,21.11111111111111,-21.11111111111111,0.0,0.0,36.666666666666664,33.333333333333336,0.0,33.333333333333336,0.0,58.888888888888886,48.888888888888886,75,1,53.75,59.861111111111114,51.111111111111114,36,80,56.77083333333333,0.0,-0.4222222222222222,False,False,False,False,False,False,False,False,False,0.0,53.75,21.11111111111111
LHX.US,LHX.US,50.0,0.0,-0.9555555555555556,47.77777777777778,-47.77777777777778,0.0,0.0,30.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,50.0,35.0,75,1,53.75,68.75,65.0,36,80,48.77083333333333,0.0,-0.9555555555555556,False,False,False,False,False,False,True,False,True,0.0,53.75,47.77777777777778
LIN.US,LIN.US,50.0,0.0,-0.38888888888888884,19.444444444444443,-19.444444444444443,0.0,0.0,50.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,50.0,44.444444444444436,75,1,53.75,68.75,55.555555555555564,36,80,52.77083333333333,0.0,-0.38888888888888884,False,False,False,False,False,False,False,False,False,0.0,53.75,19.444444444444443
LMT.US,LMT.US,50.0,0.0,-0.06666666666666671,3.3333333333333357,-3.3333333333333357,0.0,0.0,56.666666666666664,0.0,33.333333333333336,0.0,33.333333333333336,54.444444444444436,49.444444444444436,75,0,33.75,64.30555555555557,50.555555555555564,36,80,57.10416666666667,0.0,-0.06666666666666671,False,False,False,False,False,False,False,False,False,0.0,33.75,3.3333333333333357
LOW.US,LOW.US,50.0,0.0,0.46666666666666656,-23.33333333333333,23.33333333333333,0.0,0.0,63.333333333333336,0.0,0.0,0.0,0.0,63.333333333333336,63.333333333333336,55,0,24.75,50.416666666666664,36.666666666666664,36,80,66.45416666666668,0.0,0.46666666666666656,False,False,False,False,False,False,False,False,False,0.0,24.75,-23.33333333333333
LRLCY.US,LRLCY.US,50.0,0.0,-0.1,5.0,-5.0,0.0,0.0,43.333333333333336,0.0,0.0,0.0,0.0,63.333333333333336,53.888888888888886,75,0,33.75,55.416666666666664,46.111111111111114,36,80,61.10416666666667,0.0,-0.1,False,False,False,False,False,False,False,False,False,0.0,33.75,5.0
LVMUY.US,LVMUY.US,50.0,0.0,-0.4222222222222222,21.11111111111111,-21.11111111111111,0.0,0.0,36.666666666666664,33.333333333333336,0.0,33.333333333333336,0.0,58.888888888888886,48.888888888888886,75,1,53.75,59.861111111111114,51.111111111111114,36,80,56.77083333333333,0.0,-0.4222222222222222,False,False,False,False,False,False,False,False,False,0.0,53.75,21.11111111111111
LYG.US,LYG.US,50.0,0.0,-0.9833333333333333,49.166666666666664,-49.166666666666664,0.0,0.0,30.0,50.0,0.0,50.0,0.0,50.0,35.0,75,1,53.75,68.75,65.0,36,80,55.4375,0.0,-0.9833333333333333,False,False,False,False,False,False,True,False,True,0.0,53.75,49.166666666666664
MCD.US,MCD.US,50.0,0.0,-0.9333333333333332,46.666666666666664,-46.666666666666664,0.0,0.0,30.0,50.0,50.0,50.0,50.0,50.0,35.0,75,1,53.75,68.75,65.0,36,80,45.4375,0.0,-0.9333333333333332,False,False,False,False,False,False,True,False,True,0.0,53.75,46.666666666666664
MCHP.US,MCHP.US,50.0,0.0,-0.06666666666666671,3.3333333333333357,-3.3333333333333357,0.0,0.0,56.666666666666664,0.0,33.333333333333336,0.0,33.333333333333336,54.444444444444436,49.444444444444436,75,0,33.75,64.30555555555557,50.555555555555564,36,80,57.10416666666667,0.0,-0.06666666666666671,False,False,False,False,False,False,False,False,False,0.0,33.75,3.3333333333333357
MDLZ.US,MDLZ.US,85.0,0.7,0.46666666666666656,11.666666666666671,23.33333333333333,0.0,1.0,63.333333333333336,0.0,0.0,0.0,0.0,63.333333333333336,63.333333333333336,55,0,24.75,50.416666666666664,36.666666666666664,36,80,82.20416666666668,0.7,0.46666666666666656,False,False,False,False,False,False,False,False,False,0.0,24.75,11.666666666666671
MDT.US,MDT.US,50.0,-1.0,-0.5,-25.0,-25.0,1.0,0.0,40.0,0.0,0.0,0.0,0.0,56.666666666666664,42.5,75,0,48.75,62.083333333333336,67.5,36,80,35.6875,-1.0,-0.5,False,False,False,False,False,False,False,False,False,1.0,48.75,-25.0
MET.US,MET.US,0.0,-0.9833333333333333,-0.4222222222222222,-28.055555555555557,-21.11111111111111,2.0,0.0,36.666666666666664,33.333333333333336,0.0,33.333333333333336,0.0,58.888888888888886,48.888888888888886,75,1,83.75,59.861111111111114,71.11111111111111,36,80,30.145833333333332,-0.9833333333333333,-0.4222222222222222,False,False,False,False,False,False,False,False,False,2.0,83.75,-28.055555555555557
MFC.US,MFC.US,1.666666666666667,-0.9333333333333332,-0.9555555555555556,1.1111111111111112,-47.77777777777778,2.0,0.0,30.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,50.0,35.0,75,1,83.75,68.75,85.0,36,80,23.270833333333332,-0.9333333333333332,-0.9555555555555556,False,False,False,False,False,False,True,False,True,2.0,83.75,1.1111111111111112
MFG.US,MFG.US,5.0,-0.1,-0.38888888888888884,14.444444444444443,-19.444444444444443,1.0,1.0,50.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,50.0,44.444444444444436,75,1,68.75,68.75,65.55555555555557,36,80,48.27083333333333,-0.1,-0.38888888888888884,False,False,False,False,False,False,False,False,False,1.0,68.75,14.444444444444443
MMM.US,MMM.US,50.0,0.35,0.35,0.0,17.5,0.0,1.0,70.0,0.0,0.0,0.0,0.0,56.666666666666664,56.666666666666664,75,0,33.75,62.083333333333336,43.333333333333336,36,80,74.3125,0.35,0.35,False,False,False,False,False,False,False,False,False,0.0,33.75,0.0
MO.US,MO.US,85.0,0.46666666666666656,0.46666666666666656,0.0,23.33333333333333,0.0,2.0,63.333333333333336,0.0,0.0,0.0,0.0,63.333333333333336,63.333333333333336,55,0,24.75,50.416666666666664,36.666666666666664,36,80,76.95416666666668,0.46666666666666656,0.46666666666666656,False,False,False,False,False,False,False,False,False,0.0,24.75,0.0
MPC.US,MPC.US,50.0,-0.1,-0.1,0.0,-5.0,1.0,1.0,43.333333333333336,0.0,0.0,0.0,0.0,63.333333333333336,53.888888888888886,75,0,48.75,55.416666666666664,56.111111111111114,36,80,56.60416666666667,-0.1,-0.1,False,False,False,False,False,False,False,False,False,1.0,48.75,0.0
MRK.US,MRK.US,85.0,-0.4222222222222222,-0.4222222222222222,0.0,-21.11111111111111,2.0,1.0,36.666666666666664,33.333333333333336,0.0,33.333333333333336,0.0,58.888888888888886,48.888888888888886,75,1,83.75,59.861111111111114,71.11111111111111,36,80,42.77083333333333,-0.4222222222222222,-0.4222222222222222,False,False,False,False,False,False,False,False,False,2.0,83.75,0.0
MRSH.US,MRSH.US,50.0,-0.9833333333333333,-0.9555555555555556,-1.3888888888888888,-47.77777777777778,2.0,0.0,30.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,50.0,35.0,75,1,83.75,68.75,85.0,36,80,22.145833333333332,-0.9833333333333333,-0.9555555555555556,False,False,False,False,False,False,True,False,True,2.0,83.75,-1.3888888888888888
MS.US,MS.US,50.0,-0.9333333333333332,-0.38888888888888884,-27.222222222222225,-19.444444444444443,2.0,0.0,50.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,50.0,44.444444444444436,75,1,83.75,68.75,75.55555555555557,36,80,27.270833333333332,-0.9333333333333332,-0.38888888888888884,False,False,False,False,False,False,False,False,False,2.0,83.75,-27.222222222222225
MSCI.US,MSCI.US,50.0,-0.1,-0.06666666666666671,-1.6666666666666643,-3.3333333333333357,1.0,1.0,56.666666666666664,0.0,33.333333333333336,0.0,33.333333333333336,54.444444444444436,49.444444444444436,75,0,48.75,64.30555555555557,60.555555555555564,36,80,52.60416666666667,-0.1,-0.06666666666666671,False,False,False,False,False,False,False,False,False,1.0,48.75,-1.6666666666666643
MSI.US,MSI.US,50.0,0.35,0.46666666666666656,-5.833333333333329,23.33333333333333,0.0,1.0,63.333333333333336,0.0,0.0,0.0,0.0,63.333333333333336,63.333333333333336,55,0,24.75,50.416666666666664,36.666666666666664,36,80,74.32916666666668,0.35,0.46666666666666656,False,False,False,False,False,False,False,False,False,0.0,24.75,-5.833333333333329
MTB.US,MTB.US,50.0,0.0,-0.1,5.0,-5.0,0.0,0.0,43.333333333333336,0.0,0.0,0.0,0.0,63.333333333333336,53.888888888888886,75,0,33.75,55.416666666666664,46.111111111111114,36,80,61.10416666666667,0.0,-0.1,False,False,False,False,False,False,False,False,False,0.0,33.75,5.0
MUFG.US,MUFG.US,50.0,0.7,-0.4222222222222222,56.111111111111114,-21.11111111111111,0.0,1.0,36.666666666666664,33.333333333333336,0.0,33.333333333333336,0.0,58.888888888888886,48.888888888888886,75,1,53.75,59.861111111111114,51.111111111111114,36,80,72.52083333333334,0.7,-0.4222222222222222,False,False,False,False,False,False,False,False,False,0.0,53.75,56.111111111111114
NDAQ.US,NDAQ.US,50.0,-1.0,-0.9555555555555556,-2.2222222222222223,-47.77777777777778,1.0,0.0,30.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,50.0,35.0,75,1,68.75,68.75,75.0,36,80,24.020833333333332,-1.0,-0.9555555555555556,False,False,False,False,False,False,True,False,True,1.0,68.75,-2.2222222222222223
NEE.US,NEE.US,50.0,0.0,-0.38888888888888884,19.444444444444443,-19.444444444444443,0.0,0.0,50.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,50.0,44.444444444444436,75,1,53.75,68.75,55.555555555555564,36,80,52.77083333333333,0.0,-0.38888888888888884,False,False,False,False,False,False,False,False,False,0.0,53.75,19.444444444444443
NEM.US,NEM.US,50.0,0.0,-0.06666666666666671,3.3333333333333357,-3.3333333333333357,0.0,0.0,56.666666666666664,0.0,33.333333333333336,0.0,33.333333333333336,54.444444444444436,49.444444444444436,75,0,33.75,64.30555555555557,50.555555555555564,36,80,57.10416666666667,0.0,-0.06666666666666671,False,False,False,False,False,False,False,False,False,0.0,33.75,3.3333333333333357
NGG.US,NGG.US,50.0,0.0,0.46666666666666656,-23.33333333333333,23.33333333333333,0.0,0.0,63.333333333333336,0.0,0.0,0.0,0.0,63.333333333333336,63.333333333333336,55,0,24.75,50.416666666666664,36.666666666666664,36,80,66.45416666666668,0.0,0.46666666666666656,False,False,False,False,False,False,False,False,False,0.0,24.75,-23.33333333333333
NKE.US,NKE.US,50.0,0.0,-0.1,5.0,-5.0,0.0,0.0,43.333333333333336,0.0,0.0,0.0,0.0,63.333333333333336,53.888888888888886,75,0,33.75,55.416666666666664,46.111111111111114,36,80,61.10416666666667,0.0,-0.1,False,False,False,False,False,False,False,False,False,0.0,33.75,5.0
NOC.US,NOC.US,50.0,0.0,-0.4222222222222222,21.11111111111111,-21.11111111111111,0.0,0.0,36.666666666666664,33.333333333333336,0.0,33.333333333333336,0.0,58.888888888888886,48.888888888888886,75,1,53.75,59.861111111111114,51.111111111111114,36,80,56.77083333333333,0.0,-0.4222222222222222,False,False,False,False,False,False,False,False,False,0.0,53.75,21.11111111111111
NOK.US,NOK.US,50.0,0.0,-0.9555555555555556,47.77777777777778,-47.77777777777778,0.0,0.0,30.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,50.0,35.0,75,1,53.75,68.75,65.0,36,80,48.77083333333333,0.0,-0.9555555555555556,False,False,False,False,False,False,True,False,True,0.0,53.75,47.77777777777778
NSC.US,NSC.US,50.0,0.0,-0.38888888888888884,19.444444444444443,-19.444444444444443,0.0,0.0,50.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,50.0,44.444444444444436,75,1,53.75,68.75,55.555555555555564,36,80,52.77083333333333,0.0,-0.38888888888888884,False,False,False,False,False,False,False,False,False,0.0,53.75,19.444444444444443
